symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-07-06 00:00:00+00:00,1499.65,1510.0,1476.98,1488.15,2235630,74.9825,75.5,73.849,74.4075,44712600,0.0,1.0
GOOGL,2020-07-07 00:00:00+00:00,1489.92,1521.32,1489.7,1496.13,2118194,74.496,76.066,74.485,74.8065,42363880,0.0,1.0
GOOGL,2020-07-08 00:00:00+00:00,1503.6,1511.17,1492.3,1500.8,1588304,75.18,75.5585,74.615,75.04,31766080,0.0,1.0
GOOGL,2020-07-09 00:00:00+00:00,1518.66,1529.14,1495.59,1509.93,2092013,75.933,76.457,74.7795,75.4965,41840260,0.0,1.0
GOOGL,2020-07-10 00:00:00+00:00,1539.01,1541.34,1500.72,1513.25,1796063,76.9505,77.067,75.036,75.6625,35921260,0.0,1.0
GOOGL,2020-07-13 00:00:00+00:00,1512.23,1576.36,1506.56,1549.94,2147729,75.6115,78.818,75.328,77.497,42954580,0.0,1.0
GOOGL,2020-07-14 00:00:00+00:00,1520.86,1522.8,1485.93,1492.79,1905405,76.043,76.14,74.2965,74.6395,38108100,0.0,1.0
GOOGL,2020-07-15 00:00:00+00:00,1516.88,1536.33,1497.83,1523.23,1551326,75.844,76.8165,74.8915,76.1615,31026520,0.0,1.0
GOOGL,2020-07-16 00:00:00+00:00,1514.92,1515.91,1488.27,1501.5,1324228,75.746,75.7955,74.4135,75.075,26484560,0.0,1.0
GOOGL,2020-07-17 00:00:00+00:00,1516.85,1523.43,1498.1,1516.91,1713251,75.8425,76.1715,74.905,75.8455,34265020,0.0,1.0
GOOGL,2020-07-20 00:00:00+00:00,1563.84,1569.01,1502.7,1515.0,1490634,78.192,78.4505,75.135,75.75,29812680,0.0,1.0
GOOGL,2020-07-21 00:00:00+00:00,1555.92,1587.05,1552.62,1585.03,1328089,77.796,79.3525,77.631,79.2515,26561780,0.0,1.0
GOOGL,2020-07-22 00:00:00+00:00,1564.85,1566.98,1543.23,1555.71,1224100,78.2425,78.349,77.1615,77.7855,24482000,0.0,1.0
GOOGL,2020-07-23 00:00:00+00:00,1516.75,1570.35,1508.59,1565.93,1695498,75.8375,78.5175,75.4295,78.2965,33909960,0.0,1.0
GOOGL,2020-07-24 00:00:00+00:00,1508.21,1515.4273,1487.59,1499.19,1495381,75.4105,75.771365,74.3795,74.9595,29907620,0.0,1.0
GOOGL,2020-07-27 00:00:00+00:00,1529.43,1537.56,1512.33,1513.26,1356185,76.4715,76.878,75.6165,75.663,27123700,0.0,1.0
GOOGL,2020-07-28 00:00:00+00:00,1503.65,1526.01,1500.52,1525.0,1545534,75.1825,76.3005,75.026,76.25,30910680,0.0,1.0
GOOGL,2020-07-29 00:00:00+00:00,1523.51,1533.33,1503.01,1505.0,1133773,76.1755,76.6665,75.1505,75.25,22675460,0.0,1.0
GOOGL,2020-07-30 00:00:00+00:00,1538.37,1540.89,1495.17,1497.97,1802121,76.9185,77.0445,74.7585,74.8985,36042420,0.0,1.0
GOOGL,2020-07-31 00:00:00+00:00,1487.95,1505.02,1454.0,1497.05,4576382,74.3975,75.251,72.7,74.8525,91527640,0.0,1.0
GOOGL,2020-08-03 00:00:00+00:00,1482.76,1497.73,1471.72,1491.0,2276085,74.138,74.8865,73.586,74.55,45521700,0.0,1.0
GOOGL,2020-08-04 00:00:00+00:00,1473.3,1493.11,1464.03,1486.71,1860609,73.665,74.6555,73.2015,74.3355,37212180,0.0,1.0
GOOGL,2020-08-05 00:00:00+00:00,1479.09,1490.0,1471.215,1476.82,1457518,73.9545,74.5,73.56075,73.841,29150360,0.0,1.0
GOOGL,2020-08-06 00:00:00+00:00,1504.95,1506.27,1471.9,1476.15,1665261,75.2475,75.3135,73.595,73.8075,33305220,0.0,1.0
GOOGL,2020-08-07 00:00:00+00:00,1498.37,1520.09,1486.27,1509.04,1386294,74.9185,76.0045,74.3135,75.452,27725880,0.0,1.0
GOOGL,2020-08-10 00:00:00+00:00,1496.82,1507.15,1477.4901,1490.8,1027329,74.841,75.3575,73.874505,74.54,20546580,0.0,1.0
GOOGL,2020-08-11 00:00:00+00:00,1480.54,1510.44,1478.19,1494.0,1554853,74.027,75.522,73.9095,74.7,31097060,0.0,1.0
